Degree,Specialization,state_abbr,12percentage,Specialization_Degree,Performance_Bin,Performance_Specialization,Degree_State,12percentage_normalized
B.Tech/B.E.,electronics & telecommunications, NT,0.7648491957860543,electronics & telecommunications_B.Tech/B.E.,80-100,80-100_electronics & telecommunications,B.Tech/B.E._ NT,0.7648491957860543
B.Tech/B.E.,biotechnology, QLD,0.581312459112545,biotechnology_B.Tech/B.E.,70-80,70-80_biotechnology,B.Tech/B.E._ QLD,0.581312459112545
B.Tech/B.E.,information technology, WA,0.8105077939949018,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ WA,0.8105077939949018
B.Tech/B.E.,computer science & engineering, SA,0.5452187055877643,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ SA,0.5452187055877643
B.Tech/B.E.,electronics & telecommunications, QLD,0.581312459112545,electronics & telecommunications_B.Tech/B.E.,70-80,70-80_electronics & telecommunications,B.Tech/B.E._ QLD,0.581312459112545
B.Tech/B.E.,instrumentation and control engineering, ACT,0.6697421552482575,instrumentation and control engineering_B.Tech/B.E.,70-80,70-80_instrumentation and control engineering,B.Tech/B.E._ ACT,0.6697421552482575
B.Tech/B.E.,electronics and communication engineering, SA,0.7834374788513164,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ SA,0.7834374788513164
B.Tech/B.E.,computer science & engineering, TAS,0.8339687337860092,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ TAS,0.8339687337860092
B.Tech/B.E.,computer science & engineering, TAS,0.20232804710234853,computer science & engineering_B.Tech/B.E.,50-60,50-60_computer science & engineering,B.Tech/B.E._ TAS,0.20232804710234853
B.Tech/B.E.,computer science & engineering, NSW,0.46707572920661444,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ NSW,0.46707572920661444
B.Tech/B.E.,computer science & engineering, WA,0.1301405400527873,computer science & engineering_B.Tech/B.E.,Below 50,Below 50_computer science & engineering,B.Tech/B.E._ WA,0.1301405400527873
B.Tech/B.E.,mechanical engineering, ACT,0.581312459112545,mechanical engineering_B.Tech/B.E.,70-80,70-80_mechanical engineering,B.Tech/B.E._ ACT,0.581312459112545
B.Tech/B.E.,electronics and communication engineering, NT,0.458593697128291,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ NT,0.458593697128291
